wavelength,fluxE-26
4601.13,1.70844
4602.72,1.662
4604.31,1.71326
4605.90,1.66854
4607.49,1.64868
4609.08,1.72804
4610.67,1.76419
4612.26,1.73012
4613.85,1.71596
4615.44,1.71367
4617.03,1.71361
4618.62,1.74297
4620.21,1.70503
4621.80,1.72751
4623.39,1.74229
4624.98,1.69171
4626.57,1.66824
4628.16,1.67897
4629.75,1.72299
4631.34,1.72916
4632.93,1.71244
4634.52,1.72889
4636.11,1.71892
4637.70,1.688
4639.29,1.71226
4640.88,1.69677
4642.47,1.70313
4644.06,1.69556
4645.65,1.68243
4647.24,1.73351
4648.83,1.71233
4650.42,1.68688
4652.01,1.72189
4653.60,1.66702
4655.20,1.66162
4656.79,1.6907
4658.38,1.69739
4659.97,1.69103
4661.56,1.70589
4663.15,1.70429
4664.74,1.68178
4666.33,1.67814
4667.92,1.64358
4669.51,1.67527
4671.10,1.64431
4672.69,1.66801
4674.28,1.6768
4675.87,1.67823
4677.46,1.64222
4679.05,1.65389
4680.64,1.63379
4682.23,1.64831
4683.82,1.69034
4685.41,1.61861
4687.00,1.65949
4688.59,1.68956
4690.18,1.65455
4691.77,1.68077
4693.36,1.6889
4694.95,1.68589
4696.54,1.65532
4698.13,1.65841
4699.72,1.66935
4701.31,1.67885
4702.90,1.636
4704.49,1.67751
4706.08,1.66959
4707.67,1.66135
4709.26,1.69348
4710.85,1.68085
4712.44,1.6749
4714.03,1.61897
4715.62,1.64178
4717.21,1.64217
4718.80,1.6537
4720.39,1.66742
4721.98,1.625
4723.57,1.61106
4725.16,1.63844
4726.75,1.60609
4728.34,1.64312
4729.93,1.65231
4731.52,1.6169
4733.11,1.60786
4734.70,1.60442
4736.29,1.61799
4737.88,1.62959
4739.47,1.5605
4741.06,1.55565
4742.65,1.57627
4744.24,1.59722
4745.83,1.64152
4747.42,1.62958
4749.01,1.62328
4750.60,1.63213
4752.19,1.59642
4753.78,1.63229
4755.37,1.6193
4756.96,1.60079
4758.55,1.59937
4760.15,1.59436
4761.73,1.55399
4763.33,1.53181
4764.92,1.53016
4766.51,1.5498
4768.10,1.58886
4769.69,1.56456
4771.28,1.52431
4772.87,1.59502
4774.46,1.5775
4776.05,1.49518
4777.64,1.50722
4779.23,1.50162
4780.82,1.52633
4782.41,1.53426
4784.00,1.5273
4785.59,1.50948
4787.18,1.49677
4788.77,1.44345
4790.36,1.42927
4791.95,1.45133
4793.54,1.45532
4795.13,1.47079
4796.72,1.47818
4798.31,1.44364
4799.90,1.43347
4801.49,1.40957
4803.08,1.38816
4804.67,1.42483
4806.26,1.40248
4807.85,1.38849
4809.44,1.4022
4811.03,1.40208
4812.62,1.36198
4814.21,1.35697
4815.80,1.33591
4817.39,1.33953
4818.98,1.29249
4820.57,1.2592
4822.16,1.29329
4823.75,1.27715
4825.34,1.25406
4826.93,1.25387
4828.52,1.21493
4830.11,1.2147
4831.70,1.21062
4833.29,1.17066
4834.88,1.14279
4836.47,1.15668
4838.06,1.13374
4839.65,1.0715
4841.24,1.07258
4842.83,1.04685
4844.42,1.04497
4846.01,1.01222
4847.60,0.95609
4849.19,0.930675
4850.78,0.899264
4852.37,0.865129
