source id,right ascension (RAJ2000),declination (DEJ2000),hjd,camera,filter,mag,mag err,flux (mJy),flux err
AP8019578,219.29812,26.7366,2457520.75315,ba,V,7.915,0.02,2616.96,48.152
AP8019578,219.29812,26.7366,2457037.07268,ba,V,7.924,0.02,2595.315,47.754
AP8019578,219.29812,26.7366,2457439.97153,ba,V,10.198,0.02,319.757,5.884
AP8019578,219.29812,26.7366,2457506.93679,ba,V,7.453,0.02,4004.561,73.684
AP8019578,219.29812,26.7366,2457882.84471,ba,V,12.657,99.99,-146.053,6.637
AP8019578,219.29812,26.7366,2457164.84319,ba,V,12.729,99.99,-43.1,6.213
AP8019578,219.29812,26.7366,2456856.79728,ba,V,8.083,0.02,2242.451,41.261
AP8019578,219.29812,26.7366,2456359.04004,ba,V,8.188,0.02,2035.254,37.449
AP8019578,219.29812,26.7366,2457767.09074,ba,V,9.833,0.02,447.388,8.232
AP8019578,219.29812,26.7366,2457126.04991,ba,V,10.485,0.02,245.518,4.518
AP8019578,219.29812,26.7366,2456803.97504,ba,V,8.597,0.02,1397.349,25.711
AP8019578,219.29812,26.7366,2457835.08598,ba,V,12.661,99.99,-140.792,6.613
AP8019578,219.29812,26.7366,2456740.85238,ba,V,12.691,99.99,-97.324,6.435
AP8019578,219.29812,26.7366,2456994.15824,ba,V,10.055,0.02,364.598,6.709
AP8019578,219.29812,26.7366,2456464.82131,ba,V,10.912,0.02,165.654,3.048
AP8019578,219.29812,26.7366,2457404.1033,ba,V,12.704,99.99,-78.703,6.359
AP8019578,219.29812,26.7366,2457601.76204,ba,V,12.684,99.99,-107.788,6.478
AP8019578,219.29812,26.7366,2457547.91792,ba,V,9.435,0.02,645.798,11.883
AP8019578,219.29812,26.7366,2456700.96359,ba,V,12.72,99.99,-55.321,6.265
AP8019578,219.29812,26.7366,2457420.09948,ba,V,12.744,99.99,-22.108,6.128
AP8019578,219.29812,26.7366,2456751.82176,ba,V,12.744,99.99,-22.216,6.128
AP8019578,219.29812,26.7366,2457488.92773,ba,V,7.407,0.02,4180.204,76.916
AP8019578,219.29812,26.7366,2456741.91717,ba,V,11.639,0.02,84.807,1.56
AP8019578,219.29812,26.7366,2457917.91231,ba,V,9.988,0.02,388.043,7.14
AP8019578,219.29812,26.7366,2456778.06851,ba,V,10.055,0.02,364.641,6.709
AP8019578,219.29812,26.7366,2457864.01023,ba,V,12.6,99.99,-234.087,6.994
AP8019578,219.29812,26.7366,2457442.96079,ba,V,9.997,0.02,384.598,7.077
AP8019578,219.29812,26.7366,2456683.01934,ba,V,11.486,0.02,97.59,1.796
AP8019578,219.29812,26.7366,2457900.96123,ba,V,11.561,0.02,91.117,1.677
