wave,fluxE10
5230.46,22.9407
5233.29,22.0413
5236.12,20.2309
5238.95,18.385
5241.78,18.1207
5244.61,19.7458
5247.44,21.6489
5250.27,21.7293
5253.11,19.8926
5255.94,18.3009
5258.77,18.2151
5261.6,19.4658
5264.43,21.5071
5267.26,23.208
5270.09,23.9101
5272.92,24.3629
5275.75,25.2992
5278.58,26.0331
5281.41,25.5452
5284.24,23.7979
5287.07,22.3752
5289.9,23.0307
5292.73,24.9616
5295.56,25.9412
5298.39,25.7799
5301.23,25.8542
5304.06,26.1939
5306.89,26.1109
5309.72,25.4871
5312.55,24.2523
5315.38,22.5969
5318.21,21.913
5321.04,23.3268
5323.87,25.2839
5326.7,25.6978
5329.53,25.2396
5332.36,25.267
5335.19,25.5632
5338.02,26.3569
5340.85,28.2645
5343.68,30.1898
5346.51,30.6815
5349.35,29.7722
5352.18,28.3625
5355.01,27.0659
5357.84,26.2812
5360.67,26.8696
5363.5,28.4908
5366.33,29.3633
5369.16,29.045
5371.99,28.3213
5374.82,27.419
5377.65,26.2398
5380.48,25.0052
5383.31,24.4965
5386.14,25.3065
5388.97,26.018
5391.8,24.945
5394.63,23.7932
5397.47,25.017
5400.3,27.5478
5403.13,29.172
5405.96,29.5923
5408.79,29.4185
5411.62,28.8313
5414.45,27.5766
5417.28,25.8289
5420.11,24.9018
5422.94,26.1451
5425.77,28.832
5428.6,30.1172
5431.43,28.2443
5434.26,24.8565
5437.09,22.3604
5439.92,21.0055
5442.75,20.6511
5445.59,21.4488
5448.42,22.7775
5451.25,23.8601
5454.08,24.1415
5456.91,23.6352
5459.74,23.1167
5462.57,23.3346
5465.4,24.1928
5468.23,25.0712
5471.06,25.5426
5473.89,25.5733
5476.72,25.4815
5479.55,25.2185
5482.38,24.4945
5485.21,23.622
5488.04,23.4056
5490.87,23.7985
5493.71,23.6944
5496.54,22.9518
5499.37,23.2155
5502.2,25.1203
5505.03,26.8529
5507.86,27.2896
5510.69,27.0802
5513.52,26.9753
5516.35,27.0718
5519.18,27.4828
5522.01,28.5772
5524.84,29.8376
5527.67,30.3804
5530.5,30.4961
5533.33,30.7395
5536.16,30.7708
5538.99,30.3234
5541.83,29.8341
5544.66,29.5591
5547.49,29.333
5550.32,29.1161
5553.15,29.0008
5555.98,29.0689
5558.81,29.3181
5561.64,29.4629
5564.47,28.9681
5567.3,27.7161
5570.13,26.4809
5572.96,25.8739
5575.79,25.5805
5578.62,25.2534
5581.45,25.0855
5584.28,25.2985
5587.11,26.0715
5589.95,27.1116
5592.78,27.7604
5595.61,27.4827
5598.44,26.4458
5601.27,25.6576
5604.1,25.4089
5606.93,25.1364
5609.76,24.9288
5612.59,25.1622
5615.42,25.4039
5618.25,25.1318
5621.08,24.8194
5623.91,25.0324
5626.74,25.6371
5629.57,26.516
5632.4,27.4934
5635.23,27.8328
5638.07,27.2377
5640.9,26.5843
5643.73,26.4459
5646.56,26.4382
5649.39,26.4781
5652.22,27.2192
5655.05,28.6804
5657.88,29.615
5660.71,29.5458
5663.54,29.2676
5666.37,29.2864
5669.2,29.7913
5672.03,30.5855
5674.86,30.7464
5677.69,30.0246
5680.52,29.1146
5683.35,28.5675
5686.19,28.3303
5689.02,28.3989
5691.85,29.155
5694.68,30.3352
5697.51,31.3163
5700.34,31.8682
5703.17,31.5968
5706,30.7217
5708.83,30.3675
5711.66,30.7116
5714.49,31.0425
5717.32,31.2356
5720.15,31.602
5722.98,32.1929
5725.81,32.5466
5728.64,32.2155
5731.47,31.6734
5734.31,31.4852
5737.14,30.9962
5739.97,30.2667
5742.8,30.3854
5745.63,30.9736
5748.46,31.2459
5751.29,31.4123
5754.12,31.3197
5756.95,30.4466
5759.78,29.4131
5762.61,29.4577
5765.44,30.6606
5768.27,32.2603
5771.1,33.6512
5773.93,34.7105
5776.76,35.7552
5779.59,36.3518
5782.43,35.9774
5785.26,34.9838
5788.09,33.7564
5790.92,32.7831
5793.75,32.5179
5796.58,32.7594
5799.41,33.1259
5802.24,33.6369
5805.07,34.0815
5807.9,34.0029
5810.73,33.808
5813.56,34.0461
5816.39,34.3605
5819.22,33.8061
5822.05,31.8899
5824.88,29.5303
5827.71,28.1759
5830.54,28.2391
5833.38,28.7793
5836.21,28.8963
5839.04,28.6792
5841.87,28.6306
5844.7,28.6783
5847.53,28.3811
5850.36,27.6991
5853.19,27.031
5856.02,26.6609
5858.85,25.783
5861.68,23.6134
5864.51,21.425
5867.34,20.601
5870.17,21.1232
5873,22.7946
5875.83,24.3983
5878.66,25.1159
5881.5,25.4879
5884.33,25.6521
5887.16,25.5793
5889.99,25.5746
5892.82,25.7573
5895.65,26.2791
5898.48,27.054
5901.31,27.6436
5904.14,27.9227
5906.97,28.2096
5909.8,28.5973
5912.63,28.959
5915.46,29.3958
5918.29,29.5436
5921.12,28.8694
5923.95,27.7471
5926.78,27.1017
5929.62,27.6596
5932.45,28.9744
5935.28,30.0039
5938.11,30.4818
5940.94,30.5259
5943.77,30.2176
5946.6,29.828
5949.43,29.4954
5952.26,29.2635
5955.09,29.6439
5957.92,30.8412
5960.75,32.248
5963.58,32.9933
5966.41,32.6039
5969.24,31.7388
5972.07,31.2273
5974.9,31.0537
5977.74,31.1237
5980.57,31.0567
5983.4,30.7202
5986.23,31.018
5989.06,32.4541
5991.89,33.7808
5994.72,32.9315
5997.55,32.2105
6000.38,32.0847
6003.21,31.6082
6006.04,31.8496
6008.87,32.2943
6011.7,32.7475
6014.53,33.0897
6017.36,33.43
6020.19,33.8461
6023.02,34.3409
6025.86,34.8483
6028.69,35.1867
6031.52,35.3253
6034.35,35.4013
6037.18,35.4273
6040.01,35.3066
6042.84,35.1379
6045.67,35.0953
6048.5,35.1773
6051.33,35.3757
6054.16,35.6557
6056.99,35.9894
6059.82,36.4434
6062.65,36.8992
6065.48,37.0791
6068.31,36.9104
6071.14,36.5983
6073.98,36.3757
6076.81,36.4167
6079.64,36.7231
6082.47,37.0385
6085.3,37.1741
6088.13,37.0904
6090.96,36.8619
6093.79,36.7016
6096.62,36.69
6099.45,36.7615
6102.28,36.8296
6105.11,36.7886
6107.94,36.6256
6110.77,36.3808
6113.6,36.0999
6116.43,35.8487
6119.26,35.6383
6122.1,35.4674
6124.93,35.4552
6127.76,35.6599
6130.59,35.8103
6133.42,35.6671
6136.25,35.3026
6139.08,34.7573
6141.91,33.8486
6144.74,32.4772
6147.57,30.8109
6150.4,29.1365
6153.23,27.8157
6156.06,27.0313
6158.89,26.6745
6161.72,26.5523
6164.55,26.4581
6167.38,26.3507
6170.22,26.3268
6173.05,26.3187
